Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1983-03-30,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-03-31,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-04,1.24,11.5,10.5,1.0,-0.08695652173913049
1983-04-05,1.24,11.5,10.5,1.0,-0.08695652173913049
1983-04-06,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-07,1.24,11.5,10.5,1.0,-0.08695652173913049
1983-04-08,1.24,11.5,10.5,1.0,-0.08695652173913049
1983-04-11,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-12,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-13,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-14,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-15,1.23,11.5,10.5,1.0,-0.08695652173913049
1983-04-18,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-04-19,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-04-20,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-21,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-22,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-25,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-26,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-27,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-28,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-04-29,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-02,1.22,11.0,10.5,0.5,-0.045454545454545414
1983-05-03,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-04,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-05,1.22,11.0,10.5,0.5,-0.045454545454545414
1983-05-06,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-09,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-10,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-11,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-12,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-13,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-16,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-17,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-18,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-19,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-20,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-24,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-05-25,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-26,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-27,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-05-31,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-01,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-02,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-03,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-06,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-07,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-06-08,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-06-09,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-10,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-13,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-06-14,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-06-15,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-06-16,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-06-17,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-20,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-21,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-22,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-23,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-24,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-27,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-28,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-29,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-06-30,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-05,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-06,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-07,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-08,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-11,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-12,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-13,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-14,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-15,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-18,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-19,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-20,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-21,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-22,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-25,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-26,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-27,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-28,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-07-29,1.23,11.0,10.5,0.5,-0.045454545454545414
1983-08-02,1.24,11.0,10.5,0.5,-0.045454545454545414
1983-08-03,1.23,11.0,10.5,0.5,-0.045454545454545414
